atividade_id,nivel,motivo,n,percentagem
21568213058,intervalo,valido,318,86.88524590163935
21568213058,intervalo,primeiros_120s,21,5.737704918032787
21568213058,intervalo,amplitude_robusta_fc_excessiva,12,3.278688524590164
21568213058,intervalo,cobertura_fc_insuficiente,8,2.185792349726776
21568213058,intervalo,velocidade_inferior_limiar,2,0.546448087431694
21568213058,intervalo,diferenca_media_temporal_excessiva,2,0.546448087431694
21568213058,intervalo,timestamp_invalido,1,0.273224043715847
21568213058,intervalo,pausa,1,0.273224043715847
21568213058,intervalo,salto_temporal,1,0.273224043715847
21574110161,intervalo,valido,521,80.2773497688752
21574110161,intervalo,amplitude_robusta_fc_excessiva,46,7.0878274268104775
21574110161,intervalo,primeiros_120s,34,5.238828967642527
21574110161,intervalo,diferenca_media_temporal_excessiva,19,2.9275808936825887
21574110161,intervalo,cobertura_fc_insuficiente,15,2.3112480739599386
21574110161,intervalo,pausa,7,1.078582434514638
21574110161,intervalo,velocidade_inferior_limiar,4,0.6163328197226502
21574110161,intervalo,salto_temporal,2,0.3081664098613251
21574110161,intervalo,timestamp_invalido,1,0.15408320493066255
21604546980,intervalo,valido,248,85.81314878892734
21604546980,intervalo,primeiros_120s,19,6.57439446366782
21604546980,intervalo,diferenca_media_temporal_excessiva,8,2.7681660899653977
21604546980,intervalo,amplitude_robusta_fc_excessiva,5,1.7301038062283738
21604546980,intervalo,velocidade_inferior_limiar,4,1.3840830449826989
21604546980,intervalo,pausa,3,1.0380622837370241
21604546980,intervalo,timestamp_invalido,1,0.3460207612456747
21604546980,intervalo,salto_temporal,1,0.3460207612456747
21648150892,intervalo,valido,1094,89.89317995069844
21648150892,intervalo,cobertura_fc_insuficiente,43,3.533278553820871
21648150892,intervalo,amplitude_robusta_fc_excessiva,26,2.1364009860312243
21648150892,intervalo,primeiros_120s,25,2.0542317173377156
21648150892,intervalo,velocidade_inferior_limiar,12,0.9860312243221035
21648150892,intervalo,salto_temporal,6,0.4930156121610518
21648150892,intervalo,pausa,5,0.4108463434675431
21648150892,intervalo,diferenca_media_temporal_excessiva,5,0.4108463434675431
21648150892,intervalo,timestamp_invalido,1,0.08216926869350863
21682806144,intervalo,valido,529,92.48251748251748
21682806144,intervalo,primeiros_120s,29,5.06993006993007
21682806144,intervalo,diferenca_media_temporal_excessiva,6,1.048951048951049
21682806144,intervalo,velocidade_inferior_limiar,4,0.6993006993006993
21682806144,intervalo,pausa,3,0.5244755244755245
21682806144,intervalo,timestamp_invalido,1,0.17482517482517482
21703191468,intervalo,valido,412,72.28070175438596
21703191468,intervalo,diferenca_media_temporal_excessiva,43,7.543859649122807
21703191468,intervalo,amplitude_robusta_fc_excessiva,37,6.491228070175438
21703191468,intervalo,cobertura_fc_insuficiente,28,4.912280701754386
21703191468,intervalo,velocidade_inferior_limiar,19,3.3333333333333335
21703191468,intervalo,primeiros_120s,18,3.1578947368421053
21703191468,intervalo,pausa,7,1.2280701754385965
21703191468,intervalo,salto_temporal,5,0.8771929824561403
21703191468,intervalo,timestamp_invalido,1,0.17543859649122806
21729420815,intervalo,valido,1218,88.9700511322133
21729420815,intervalo,velocidade_inferior_limiar,46,3.3601168736303872
21729420815,intervalo,primeiros_120s,28,2.0452885317750185
21729420815,intervalo,amplitude_robusta_fc_excessiva,28,2.0452885317750185
21729420815,intervalo,diferenca_media_temporal_excessiva,26,1.8991964937910883
21729420815,intervalo,cobertura_fc_insuficiente,15,1.095690284879474
21729420815,intervalo,pausa,5,0.36523009495982467
21729420815,intervalo,salto_temporal,2,0.14609203798392986
21729420815,intervalo,timestamp_invalido,1,0.07304601899196493
21827489413,intervalo,valido,743,90.94247246022032
21827489413,intervalo,amplitude_robusta_fc_excessiva,25,3.0599755201958385
21827489413,intervalo,primeiros_120s,22,2.692778457772338
21827489413,intervalo,cobertura_fc_insuficiente,12,1.4687882496940023
21827489413,intervalo,diferenca_media_temporal_excessiva,11,1.346389228886169
21827489413,intervalo,pausa,2,0.24479804161566707
21827489413,intervalo,timestamp_invalido,1,0.12239902080783353
21827489413,intervalo,salto_temporal,1,0.12239902080783353
21848059283,intervalo,valido,594,71.05263157894737
21848059283,intervalo,amplitude_robusta_fc_excessiva,127,15.191387559808613
21848059283,intervalo,diferenca_media_temporal_excessiva,65,7.77511961722488
21848059283,intervalo,primeiros_120s,28,3.349282296650718
21848059283,intervalo,cobertura_fc_insuficiente,19,2.272727272727273
21848059283,intervalo,salto_temporal,2,0.23923444976076555
21848059283,intervalo,timestamp_invalido,1,0.11961722488038277
21862167927,intervalo,valido,1226,93.58778625954199
21862167927,intervalo,primeiros_120s,34,2.595419847328244
21862167927,intervalo,cobertura_fc_insuficiente,27,2.0610687022900764
21862167927,intervalo,amplitude_robusta_fc_excessiva,15,1.1450381679389312
21862167927,intervalo,diferenca_media_temporal_excessiva,4,0.3053435114503817
21862167927,intervalo,salto_temporal,3,0.22900763358778625
21862167927,intervalo,timestamp_invalido,1,0.07633587786259542
21909979898,intervalo,valido,522,82.59493670886076
21909979898,intervalo,diferenca_media_temporal_excessiva,40,6.329113924050633
21909979898,intervalo,amplitude_robusta_fc_excessiva,31,4.905063291139241
21909979898,intervalo,primeiros_120s,22,3.481012658227848
21909979898,intervalo,cobertura_fc_insuficiente,12,1.8987341772151898
21909979898,intervalo,velocidade_inferior_limiar,3,0.47468354430379744
21909979898,intervalo,timestamp_invalido,1,0.15822784810126583
21909979898,intervalo,salto_temporal,1,0.15822784810126583
21946978854,intervalo,valido,1001,87.04347826086956
21946978854,intervalo,diferenca_media_temporal_excessiva,40,3.4782608695652173
21946978854,intervalo,amplitude_robusta_fc_excessiva,40,3.4782608695652173
21946978854,intervalo,primeiros_120s,29,2.5217391304347827
21946978854,intervalo,cobertura_fc_insuficiente,20,1.7391304347826086
21946978854,intervalo,velocidade_inferior_limiar,12,1.0434782608695652
21946978854,intervalo,pausa,4,0.34782608695652173
21946978854,intervalo,salto_temporal,3,0.2608695652173913
21946978854,intervalo,timestamp_invalido,1,0.08695652173913043
22118031985,intervalo,valido,749,93.50811485642946
22118031985,intervalo,primeiros_120s,29,3.620474406991261
22118031985,intervalo,diferenca_media_temporal_excessiva,11,1.373283395755306
22118031985,intervalo,amplitude_robusta_fc_excessiva,11,1.373283395755306
22118031985,intervalo,timestamp_invalido,1,0.12484394506866417
22259327797,intervalo,valido,1088,93.31046312178388
22259327797,intervalo,primeiros_120s,31,2.6586620926243567
22259327797,intervalo,diferenca_media_temporal_excessiva,19,1.6295025728987993
22259327797,intervalo,amplitude_robusta_fc_excessiva,19,1.6295025728987993
22259327797,intervalo,velocidade_inferior_limiar,7,0.6003430531732419
22259327797,intervalo,timestamp_invalido,1,0.08576329331046312
22259327797,intervalo,salto_temporal,1,0.08576329331046312
22582028728,intervalo,valido,783,95.3714981729598
22582028728,intervalo,primeiros_120s,26,3.166869671132765
22582028728,intervalo,diferenca_media_temporal_excessiva,4,0.48721071863581
22582028728,intervalo,pausa,3,0.3654080389768575
22582028728,intervalo,velocidade_inferior_limiar,2,0.243605359317905
22582028728,intervalo,timestamp_invalido,1,0.1218026796589525
22582028728,intervalo,salto_distancia,1,0.1218026796589525
22582028728,intervalo,amplitude_robusta_fc_excessiva,1,0.1218026796589525
22610623020,intervalo,valido,481,93.39805825242719
22610623020,intervalo,primeiros_120s,24,4.660194174757281
22610623020,intervalo,diferenca_media_temporal_excessiva,7,1.3592233009708738
22610623020,intervalo,timestamp_invalido,1,0.1941747572815534
22610623020,intervalo,pausa,1,0.1941747572815534
22610623020,intervalo,cobertura_fc_insuficiente,1,0.1941747572815534
22664327478,intervalo,valido,1663,89.64959568733154
22664327478,intervalo,velocidade_inferior_limiar,53,2.857142857142857
22664327478,intervalo,diferenca_media_temporal_excessiva,38,2.0485175202156336
22664327478,intervalo,amplitude_robusta_fc_excessiva,38,2.0485175202156336
22664327478,intervalo,primeiros_120s,31,1.6711590296495957
22664327478,intervalo,cobertura_fc_insuficiente,21,1.1320754716981132
22664327478,intervalo,pausa,7,0.37735849056603776
22664327478,intervalo,salto_temporal,3,0.16172506738544473
22664327478,intervalo,timestamp_invalido,1,0.05390835579514825
22882313372,intervalo,valido,2718,95.77167019027485
22882313372,intervalo,primeiros_120s,117,4.12262156448203
22882313372,intervalo,pausa,2,0.07047216349541931
22882313372,intervalo,timestamp_invalido,1,0.035236081747709654
22910890927,intervalo,valido,5030,81.4574898785425
22910890927,intervalo,amplitude_robusta_fc_excessiva,355,5.748987854251012
22910890927,intervalo,cobertura_fc_insuficiente,224,3.6275303643724697
22910890927,intervalo,diferenca_media_temporal_excessiva,187,3.02834008097166
22910890927,intervalo,pausa,156,2.526315789473684
22910890927,intervalo,primeiros_120s,119,1.9271255060728745
22910890927,intervalo,velocidade_inferior_limiar,95,1.5384615384615385
22910890927,intervalo,salto_temporal,8,0.12955465587044535
22910890927,intervalo,timestamp_invalido,1,0.016194331983805668
22943992812,intervalo,valido,2374,87.7309682187731
22943992812,intervalo,amplitude_robusta_fc_excessiva,154,5.691056910569106
22943992812,intervalo,primeiros_120s,119,4.397634885439763
22943992812,intervalo,diferenca_media_temporal_excessiva,54,1.9955654101995566
22943992812,intervalo,pausa,2,0.07390983000739099
22943992812,intervalo,velocidade_inferior_limiar,2,0.07390983000739099
22943992812,intervalo,timestamp_invalido,1,0.03695491500369549
22980101796,intervalo,valido,7929,97.63575914296268
22980101796,intervalo,primeiros_120s,116,1.4283955177933751
22980101796,intervalo,cobertura_fc_insuficiente,58,0.7141977588966876
22980101796,intervalo,diferenca_media_temporal_excessiva,8,0.09851003570988795
22980101796,intervalo,pausa,5,0.061568772318679965
22980101796,intervalo,salto_temporal,2,0.024627508927471987
22980101796,intervalo,timestamp_invalido,1,0.012313754463735994
22980101796,intervalo,velocidade_inferior_limiar,1,0.012313754463735994
22980101796,intervalo,salto_distancia,1,0.012313754463735994
23059351180,intervalo,valido,1451,92.36155315085932
23059351180,intervalo,primeiros_120s,119,7.574793125397836
23059351180,intervalo,timestamp_invalido,1,0.06365372374283895
23064485029,intervalo,valido,7025,96.70980176211454
23064485029,intervalo,primeiros_120s,110,1.5143171806167401
23064485029,intervalo,pausa,63,0.8672907488986784
23064485029,intervalo,diferenca_media_temporal_excessiva,32,0.44052863436123346
23064485029,intervalo,velocidade_inferior_limiar,27,0.3716960352422907
23064485029,intervalo,amplitude_robusta_fc_excessiva,6,0.08259911894273128
23064485029,intervalo,timestamp_invalido,1,0.013766519823788546
23095730671,intervalo,valido,2186,90.96962130669996
23095730671,intervalo,primeiros_120s,110,4.577611319184353
23095730671,intervalo,pausa,98,4.078235538909696
23095730671,intervalo,diferenca_media_temporal_excessiva,8,0.3329171868497711
23095730671,intervalo,timestamp_invalido,1,0.04161464835622139
23119535339,intervalo,valido,4253,96.1999547613662
