n_atividades_treino,mae_treino_media_s_km,mae_treino_dp_s_km,mae_validacao_media_s_km,mae_validacao_dp_s_km
2,29.639272500116554,16.4735741850403,107.86204182371623,17.38376206178363
3,39.56549238636009,14.230529655545158,91.19143024120915,6.2314215010721705
4,42.12271068661321,13.748004531388817,100.20476022986668,28.447677033835507
5,45.430214553180114,12.855646525809457,96.96519793922651,32.68893811785161
6,45.93415525633673,12.509684497257883,91.32798043291146,33.691089055168845
7,49.23804697357097,10.787032763666733,94.78443785026577,32.76040369589451
8,48.79950564858431,10.42957781003185,85.8091750515398,17.603563921098058
9,49.01151558903935,11.239963612249696,79.98951646923128,13.443537930313372
10,50.08054869720242,9.227365837400036,76.18367437699597,13.746377849137259
11,50.883303140787554,8.787730437125639,75.05602801087585,14.89898676921275
12,50.55957561753111,9.567281748226069,76.7390738823,11.8244553502846
13,49.98360597056431,9.020459145550602,74.59313324968271,7.792274724747463
14,50.81790144101101,7.881490346896689,72.83400027138748,6.577015304754007
15,51.6348016652871,6.322741033125176,70.86700132728794,7.478589648131844
16,51.94039609970342,5.929084645920006,69.15081877496387,6.506038726503866
17,51.653724885250966,5.540600209470695,69.14467629173599,6.903166866209026
18,52.22039724621699,4.944725137123986,69.24246298226723,5.961202597832924
19,53.70249209929098,5.541113895008855,68.23185438412119,5.5401424683776375
20,53.85206131280469,5.3830940217150935,68.04943966302321,5.8316127838140845
21,53.23051239605416,4.923216414048395,68.17237742479999,8.078825437074192
22,53.35938448163532,4.918537957973733,70.12571306497473,7.627544727839881
23,53.497248066711656,3.8634124420237086,68.8768831067463,8.283716420965748
24,53.75236625366084,2.6496048537459798,69.19722186698135,7.910786622764076
25,53.55178038202084,2.4942024739823,69.86879213104167,9.289537708166206
26,53.705660063747715,2.62153115623151,69.8941474649369,10.837584629326043
27,53.21525876373954,2.7748020707663725,72.90887258305175,14.20073671105117
28,53.73611161453426,2.736267690002816,71.99534103281572,16.388326808347458
29,54.275626499199504,1.6133074526591624,69.75628262200854,12.330780532418629
30,54.056765806794225,1.573840295663395,72.42930906876978,12.52080157404788
31,54.006200090612246,1.1601816391766528,73.86155043183359,11.560975921076487
32,54.29781616806323,1.2379846897583358,72.922733686835,17.073865113640572
33,54.74769008509787,0.6676474400666096,73.07970018189026,15.721089166263152
