fold,atividade_id,modelo,n_treino,n_teste,mae_s_km,rmse_s_km,r2,erro_assinado_s_km,tempo_treino_s,tempo_previsao_s
1,21568213058,Ridge,5300,76,58.38973863453913,76.32163820332181,-3.241707230086117,39.884119724952406,0.007994792991667055,0.0022758270060876384
1,21568213058,RandomForest,5300,76,41.85944376402904,50.145950461806,-0.8311210563522429,34.2577226796054,0.3841100660065422,0.03986861299199518
1,21568213058,GradientBoosting,5300,76,49.94716783749045,60.61993816403411,-1.6759395605646432,22.175980455683213,0.9245352670113789,0.0028856340068159625
1,21568213058,HistGradientBoosting,5300,76,50.91008084604963,60.90843181528669,-1.7014700567405283,10.341673373882372,0.9558350229926873,0.017051586997695267
1,21568213058,SVR_RBF,5300,76,43.53911658768999,49.8296689228313,-0.8080953337208006,35.15199027832134,0.5271518110093893,0.007366592006292194
1,21568213058,RedeNeuronal_MLP,5300,76,62.968844428705275,78.85082083927065,-3.5274927077409366,21.429982134152617,4.561229408995132,0.0012351409968687221
1,21568213058,Dummy,5300,76,73.56819359097612,77.87693743081256,-3.4163455885127547,68.49490018463167,0.0007117589993868023,0.0002463569981046021
2,21574110161,Ridge,5247,129,50.26194834083952,74.6787162925409,0.1367538233925738,13.28102829326724,0.002468274993589148,0.0007871429988881573
2,21574110161,RandomForest,5247,129,59.63623129947689,90.38487476170684,-0.26453978248680743,22.67894883866945,0.37653896800475195,0.04111890000058338
2,21574110161,GradientBoosting,5247,129,53.53691690896693,82.1541213953868,-0.04471946495085777,19.032283757771495,0.8626078450033674,0.001983045003726147
2,21574110161,HistGradientBoosting,5247,129,62.156528829062026,88.73491878610723,-0.2187933836431588,11.171982722779676,1.3664228550042026,0.003985906994785182
2,21574110161,SVR_RBF,5247,129,47.53364086977452,80.62801868315198,-0.006266352886067805,13.591405238401528,0.6033336709951982,0.012072580997482873
2,21574110161,RedeNeuronal_MLP,5247,129,63.02879607153599,87.74288627045219,-0.1916941520565687,23.372969517928915,13.366673322001589,0.0017106929881265387
2,21574110161,Dummy,5247,129,78.75346580316128,97.81771686489118,-0.4810714808566403,55.748645241574785,0.0013060289929853752,0.0004668909969041124
3,21604546980,Ridge,5335,41,128.22575381643304,175.33911950763994,0.054110803279172504,-41.25811896216204,0.0041300140001112595,0.0016429780080216005
3,21604546980,RandomForest,5335,41,114.43153905478088,155.6546691477595,0.25456989547726894,-56.58290042756667,0.4702131429949077,0.038028227994800545
3,21604546980,GradientBoosting,5335,41,112.92895339236617,154.0772382091494,0.269601970135946,-39.72651647458667,0.7500683719990775,0.0016536659968551248
3,21604546980,HistGradientBoosting,5335,41,117.76503999752454,158.16629721079534,0.23031943972819813,-50.95360329667325,1.0384473869926296,0.004654026008211076
3,21604546980,SVR_RBF,5335,41,141.21948741358318,200.88432037801573,-0.24157998466884556,-86.36499064362684,0.5384782870096387,0.004384874002425931
3,21604546980,RedeNeuronal_MLP,5335,41,110.386746675392,157.99684494866767,0.23196775860632302,-41.28397939390524,8.498308373003965,0.0023152960056904703
3,21604546980,Dummy,5335,41,137.31082187734486,196.9822509743262,-0.19381440378624548,-79.36914711362812,0.0012870520004071295,0.00046506000217050314
4,21648150892,Ridge,5130,246,58.958540983858924,76.90228955517563,-0.42218893865125695,0.2727228748214164,0.004376590994070284,0.0014147069887258112
4,21648150892,RandomForest,5130,246,51.61749407665217,64.61622581680753,-0.004065238895932355,-4.634751097049575,0.4430850240023574,0.04991393399541266
4,21648150892,GradientBoosting,5130,246,43.5270343173663,58.56621357059251,0.17515366241787156,-6.46274000594469,0.8855788899963954,0.0025782589946174994
4,21648150892,HistGradientBoosting,5130,246,44.1184378533782,59.56610528042362,0.146748292249127,-3.350219378359494,1.1720432470028754,0.010290927006280981
4,21648150892,SVR_RBF,5130,246,50.98027348900615,70.56694293514992,-0.19751610767619665,-12.801967884971319,0.6057360000122571,0.032685114012565464
4,21648150892,RedeNeuronal_MLP,5130,246,47.415597312890036,63.55165295814748,0.028746809460975742,-15.265281919403181,6.480857832008041,0.002072902992949821
4,21648150892,Dummy,5130,246,59.637104843793615,69.55538971823489,-0.1634302009899038,26.069144483768625,0.0007496600010199472,0.0002436680078972131
5,21682806144,Ridge,5296,80,92.57253967379064,119.31765554025196,-0.9603341752380832,-72.12410522619248,0.002563766000093892,0.0007470490090781823
5,21682806144,RandomForest,5296,80,63.009975104931264,75.10684656540278,0.22325271373330757,-14.560598034670614,0.37907642500067595,0.04029556299792603
5,21682806144,GradientBoosting,5296,80,62.238414223762426,80.50702495658693,0.10754105938348724,-30.16826690100699,0.7840623999945819,0.0016222190024564043
5,21682806144,HistGradientBoosting,5296,80,60.25105747970831,76.51158110685752,0.19392576104313552,-22.23495716163224,0.8624988340015989,0.0038583490095334128
5,21682806144,SVR_RBF,5296,80,119.75361482034164,146.34086434305422,-1.9488448283964033,-117.87925561542447,0.513929755994468,0.007828126996173523
5,21682806144,RedeNeuronal_MLP,5296,80,57.75592616330914,78.32144640391306,0.1553396911102074,5.04884798648998,11.187777802013443,0.001740202002110891
5,21682806144,Dummy,5296,80,115.0812873930302,141.66555217495272,-1.7634346952426125,-113.16688098349209,0.0007590340101160109,0.00022159899526741356
6,21703191468,Ridge,5321,55,213.28128858204042,245.22776191634992,-3.293525444370304,-207.82050640485605,0.002360710990615189,0.0007606949948240072
6,21703191468,RandomForest,5321,55,157.00802477083553,176.2047283818645,-1.2167151455429632,-151.27339432086953,0.37641075100691523,0.04082232700602617
6,21703191468,GradientBoosting,5321,55,166.6992034958546,193.88150816015707,-1.6837839452846795,-161.98539516986324,0.7950893660017755,0.0018762039981083944
6,21703191468,HistGradientBoosting,5321,55,171.08875120554538,195.3993363285166,-1.7259691745723202,-167.70529117343244,0.9943040820071474,0.004131200999836437
6,21703191468,SVR_RBF,5321,55,216.62951936950205,247.6833600009944,-3.379942740830436,-216.62951936950205,0.5281189479865134,0.005642463002004661
6,21703191468,RedeNeuronal_MLP,5321,55,121.3858661745147,141.1088011035696,-0.42161820351355606,-111.59060037499043,4.179528017994016,0.0011906869913218543
6,21703191468,Dummy,5321,55,197.71673961307408,230.43061276639307,-2.791011669852554,-197.71673961307408,0.000752709005610086,0.0002258829917991534
7,21729420815,Ridge,5112,264,80.10944870309163,124.7055119508066,0.038994722425156114,-29.73560940189748,0.0024080290022538975,0.0007534079923061654
7,21729420815,RandomForest,5112,264,69.55041822381858,106.12989972416774,0.3039667586345738,-6.996308399915253,0.40111535499454476,0.0525019019987667
7,21729420815,GradientBoosting,5112,264,69.78288641035287,109.88230786981111,0.25387770355772465,-26.124580413960743,0.9333323949977057,0.002627102003316395
7,21729420815,HistGradientBoosting,5112,264,69.85239187575088,112.05151526898962,0.22412824641953377,-21.789623635341243,1.0934301530069206,0.004253851002431475
7,21729420815,SVR_RBF,5112,264,87.25950857749021,138.59045992874843,-0.18691917363949462,-58.91421247208944,0.490303293991019,0.021313235003617592
