repeticao,n_atividades_treino,n_atividades_validacao,mae_treino_s_km,mae_validacao_s_km
0,2,32,19.350882589144653,95.68842655921054
0,3,31,21.8468282805285,86.31716480751088
0,4,30,27.867640873798322,169.1198738805225
0,5,29,30.792157308670554,166.05978714964334
0,6,28,33.84945227849094,161.86288685065608
0,7,27,40.059262405486834,153.18954481520615
0,8,26,37.4251308877457,116.11158789937157
0,9,25,36.3427682585746,109.03784352980114
0,10,24,36.45654404711998,107.46959546079425
0,11,23,37.398874508651815,109.10473124593499
0,12,22,36.32244702865254,94.87108390378809
0,13,21,36.35109894061786,81.58857169844485
0,14,20,40.83254764889847,80.05682823958982
0,15,19,47.770565451971876,74.39272861200602
0,16,18,53.46192718649358,69.65826127275402
0,17,17,51.35090788893067,65.66950055032427
0,18,16,51.54400438199062,64.8502981268477
0,19,15,51.39748019638467,66.32815137384854
0,20,14,51.60897763897791,66.42304083092827
0,21,13,51.21167302429876,66.98062054421936
0,22,12,50.391550010511644,69.20084100002876
0,23,11,51.126496679958606,69.07172005357897
0,24,10,51.4925544892068,70.56702124304391
0,25,9,50.13087280326257,74.98757640758204
0,26,8,51.69425240255933,74.33886919299889
0,27,7,51.82448475667277,78.51179366323615
0,28,6,52.24613662242481,80.70878169620968
0,29,5,52.621756983312444,76.6579996748194
0,30,4,52.92230365790991,80.37818412510879
0,31,3,53.097242756298726,79.52869204117717
0,32,2,52.831316100759366,89.95496720807292
0,33,1,54.53919300816599,89.75526823078263
1,2,32,19.350882589144653,95.68842655921054
1,3,31,24.593991728896338,92.29095446756237
1,4,30,26.67988693028396,83.66702539897736
1,5,29,33.856200701288,125.18577071890145
1,6,28,33.013238120996164,120.8678048061212
1,7,27,44.95505352594458,138.3516661117607
1,8,26,45.70509755582805,106.57506308767539
1,9,25,49.94727469804033,78.91732485667097
1,10,24,53.22597683123579,71.70667950371559
1,11,23,51.03035604075842,70.36998206887813
1,12,22,54.52456597675802,90.3470527612902
1,13,21,54.272485309676505,80.5441314289836
1,14,20,53.696320241244656,77.32195065912425
1,15,19,52.857187269396,72.72743557860966
1,16,18,52.48776202391869,72.22637644459255
1,17,17,51.5758272341391,74.27266536540729
1,18,16,49.29617260685082,77.41819814057922
1,19,15,50.06289469782322,78.1731934034978
1,20,14,51.107246525108636,77.55467687881952
1,21,13,51.77698815336035,80.0644600096704
1,22,12,52.593044402286544,76.74862048983604
1,23,11,52.64474983766691,78.35966767698152
1,24,10,51.90531839264348,83.098378828904
1,25,9,52.33734256982943,84.33273886203027
1,26,8,52.17349020084096,86.5456676603462
1,27,7,51.24755155766704,89.77413110571484
1,28,6,51.387621577268185,92.96802842185902
1,29,5,54.83436002111741,84.33717760126923
1,30,4,55.31652479112825,74.38837229257051
1,31,3,54.790947331017655,74.31172589436316
1,32,2,55.82916806762399,67.94254239126835
1,33,1,54.967561650442086,83.17009144508181
2,2,32,59.38794897887574,104.80393771046096
2,3,31,64.85500445865847,98.9733504633045
2,4,30,67.98899997179095,101.6745195773656
2,5,29,72.7314084144908,91.39411029516776
2,6,28,69.15571472625112,66.48514863226002
2,7,27,69.12217774306242,66.0140856746743
2,8,26,68.48218272949994,62.33953590245327
2,9,25,68.45051562275768,62.630410280532416
2,10,24,61.46442807129765,60.766109837488806
2,11,23,60.84376292752759,58.86274797169698
2,12,22,61.77061003819141,58.78411720179788
2,13,21,61.050650314805,59.52754214095894
2,14,20,59.59822627491925,59.7870137762743
2,15,19,60.50734742466549,56.386936058033896
2,16,18,60.84094237248557,57.12663646692578
2,17,17,59.84538451247556,57.19587252438554
2,18,16,58.60410948367344,58.590321587318506
2,19,15,59.42416156978765,59.607777649786286
2,20,14,61.878369267039034,61.34897004142232
2,21,13,61.184817265864964,61.42613718012476
2,22,12,60.24636554738084,63.117788496929485
2,23,11,59.565376691548295,61.82535149848613
2,24,10,58.152320831538646,63.18605759074762
2,25,9,56.99206909388146,61.93226794088086
2,26,8,57.34996969901938,62.75947984264855
2,27,7,57.14563713479219,57.76467214339922
2,28,6,57.8594728644688,55.652121062469334
2,29,5,55.605923644133114,62.730158019032345
2,30,4,55.097226155944185,67.97755510900264
2,31,3,55.17553803026857,68.52465645946762
2,32,2,55.07210966303414,67.5785543760943
2,33,1,55.47960477036986,53.53691690896693
3,2,32,19.573473802964912,144.05347631102327
3,3,31,33.58124247707618,96.29587325665644
3,4,30,41.30865677792449,91.09641016926743
3,5,29,43.94970091092614,87.5287867620792
3,6,28,37.63757814360853,87.53187118995457
3,7,27,42.45036492723408,91.52268037138565
3,8,26,45.427927192618384,84.94330717441046
3,9,25,45.41134482276961,82.90720065469321
3,10,24,53.24764178179973,71.00655706147532
3,11,23,56.028197188219615,68.46177073941601
3,12,22,55.93922809633849,68.75256004929179
3,13,21,54.23111682200916,69.52567680691604
3,14,20,55.83129022712622,70.1700945993365
3,15,19,54.193211373479414,68.01330728118216
3,16,18,51.901797117862436,66.9317191411914
3,17,17,50.42635046201287,69.44558703261238
3,18,16,53.26924239529807,70.88319341017319
3,19,15,58.02109228427657,66.1490000448183
3,20,14,55.82228437971574,62.05762383890361
