tipo,grupo,n,mae_s_km,rmse_s_km,erro_assinado_s_km
zona,1,80,87.43002757559714,118.66520335047481,-8.035877958936691
zona,2,1190,61.418975291234936,83.82755244161902,2.0490329379460244
zona,3,1392,65.7134480358042,92.11431985102134,7.21406726438195
zona,4,2084,69.26552677531251,96.54514309431555,-3.1891552058140955
zona,5,630,79.0195792897749,115.99497992319121,-3.651074394252685
declive,<-6,776,82.34939188396923,113.77278376732649,3.9702620440298526
declive,-6 a -3,625,60.55765332185609,81.89073143151612,9.642754444981712
declive,-3 a 0,1318,57.54145158242996,79.15260240023618,8.473296808381564
declive,0 a 3,1253,54.97782780718054,76.43518210226537,2.4444070159201408
declive,3 a 6,658,65.53857335063833,89.86338469271557,0.8762117638875635
declive,>6,746,101.99048404810482,137.3522492892138,-28.181977379556095
